id,level_of_flood
027FDA75-1FF8-4E88-9C00-BD0933ACB7C7,2
028171BC-4BCD-4862-BB27-2D8F760F1CE4,0
02840949-DD4C-44BB-BBAA-02319DA253C0,0
0287001B-9CA0-4EA2-A7B8-5E01AD4BA3DA,0
0288E929-A3A8-4A92-B916-6635C1AE52DD,0
028CC5CE-DA59-4DE2-AB2C-CA0701B781FE,2
028CDDA4-076F-4833-8C08-8D514D070104,0
028DB9DF-6DDA-4D87-A751-7457711AFB51,0
028E0CA7-2BC2-495C-84B2-A2DD64AE7D95,0
028EA21C-28BB-4360-BB1F-0A813DD35E62,0
029394D8-4200-4B86-9857-50C728182E91,2
0296BA06-7074-4F9F-9B77-D53F5DB62F90,3
02979D2B-7C05-480E-AB91-7F4123E48C4C,0
0297E749-2350-47A7-8C7C-A70E709D81E6,0
0298841D-D477-4D87-BA78-13D95E33EB22,0
0298D2AC-260D-4624-9802-5FA23517A038,0
0299C4A3-90EA-41F7-91CD-EFF77E91ACE3,0
029B3703-9156-4401-90FF-B80EC53EFA7F,0
029BCAE2-CC46-4520-8C66-EA0C7348863E,2
02A295AF-77B3-4DA1-B1DA-D0807819D587,0
02A2BC72-8B41-4542-B549-6BB5728AB470,0
02A3CF3C-4E23-4EEA-AAD9-C55328974A34,0
02A66C98-BACD-4599-A52A-29E8C9D7D0E0,0
02A72080-E68E-44C6-A0A2-F0D0F212CDC1,0
02A956E2-D8C5-42DF-837A-406F2EF5AF8A,0
02AADBB3-825A-4227-A8DC-D9D8967ECF23,4
02AECC7D-322D-4C57-A089-9F5626CADC45,0
02AFEA32-7532-48B1-BF1F-A07B297393C5,0
02B06A5B-94F6-4BE6-96F0-DAC89C7F68E4,0
02B17083-A7F1-4C65-A8E4-70BA0FCADC97,3
02B19C61-9E36-471E-BB7D-E42BA8462AF1,0
02B3E2D1-D86F-4288-BEC2-84745571EDED,0
02B71B83-283D-4451-AF5E-40D379AF0F20,0
02B7D466-205F-4C8C-81F5-3CCCE1A2163E,0
02BAAAA9-3DAC-4DC2-92AE-B1E56125BF6C,0
02BAD868-18BA-4ADE-9D3E-C46FE04817BF,0
02BB9021-2E58-4D09-8161-B9A022ABB378,0
02BBB160-FF87-4F59-957D-0B55D7BF6C51,0
02BCCFAF-9B55-4725-A69E-B609709646A4,0
02BED819-3E6B-4AF5-AD91-31E88C300ED8,3
02C0B2C0-AADC-4197-B7EE-86613255140B,0
02C12EDB-C4FD-43DB-A333-F6723F7F2D11,0
02C3E991-B72A-4A4D-B778-DC03DDB91F8D,2
02C8125C-F00F-40B6-A4E3-005CD14B151A,0
02CC9AF1-7113-4A05-8A45-9DBD2378FB1E,0
02CD1B0F-4C8C-47E5-ADA0-9DEBB83EF345,0
02CF212D-DB90-4A88-8CB9-41F6477084FE,2
02D07410-0A41-4B32-995B-3BCB4411F905,0
02D1B140-8793-4AA2-ABC3-3EDB6111CE28,0
02D1EED3-D179-4808-9EB3-299CCDACDB50,2
02D205C0-2103-4ED3-A186-F94D0369E1B2,0
02D211A5-DCA0-448E-8EA1-2C3D1C13674C,0
02D2DF7F-73C4-442F-8B5C-EBA553BA988A,0
02D36AAF-B83E-4A23-92AD-BACB7E8A85CE,0
02D6BF9A-6238-4166-A033-AACC55548AD4,0
02D94F28-20DF-45BB-8BC1-C248A01EE7B6,0
02D9D6BE-D8E6-4E52-99C1-AE2FAC89319A,0
02DABB89-31FC-4E55-A3F3-AA1BEC45B5E6,0
02DCB830-0B3F-4786-8F1D-75F6CA7F5622,0
02DEA248-328F-4432-939F-0F728BA0EA62,0
02DEBE1B-E0B2-42BF-8DE6-0FFFC83B17E1,0
02E30776-609D-4E6A-B587-A71575030ABE,0
02E83585-31CA-46AA-8A49-636AB26428F1,0
02EB71A0-16C7-43D5-ADD9-32D15E8E1D22,0
02EF9CE8-0CE1-4D9B-9657-9A00BAAB8D85,0
02F3D2CA-577F-46C8-807B-D45B334A00E5,0
02F91EEF-0232-4873-9A08-D5183F313C9F,3
03040EDD-3252-4B8F-83B3-7A1F78CEA32A,0
0304412E-3631-4D74-ACD7-3965014D9371,0
0304A395-5F88-4001-B6E0-B0DF54DC2AF9,0
0306ADE3-1A85-4E3B-8784-B32437791AE1,0
0308DCF1-2F44-4705-BB49-00BC8D533918,2
030BBEF0-2704-4113-9E16-9051E0D7BF9E,0
030C499C-D2A8-45DE-B46B-410FB6C824B0,0
0315407F-440C-46EF-989A-16632F12310D,2
0316D215-6534-4C1C-84E1-E6A9455E90FA,0
0317586F-7529-431D-B763-71E7F0405DA9,0
03176A66-91E9-4590-8A67-AFF9D07FD6EA,0
031BC838-4869-4ABA-B913-1D74397E1F75,0
031D65BF-4F03-431B-B37E-B35DD3180EEC,0
031DD04F-542E-4FBF-8B8B-8E6B74EC898A,0
03226B95-AF28-46FB-83B4-5B349476621A,0
0322FA9D-950F-4116-B410-F55A59813F73,0
03233A01-B62E-445D-8F84-DD9AD0E3AC3A,0
03240FDD-17D6-4243-BDAF-AD2658F9A415,2
0324BBD8-3910-4EB8-8C05-7B93BFBBFA2D,0
03271D3E-8F3E-47E5-8161-C5071C584F18,0
0327FB0B-AAB2-4AC8-BEC5-F5688EB0EB0A,0
03286C8B-CB85-419F-A592-F2E2AB6ACE1F,3
03287BE7-21FC-4F76-9408-89F1D8C4198C,0
032A649C-9069-4D81-BF64-917DBBB433B3,0
032CDB05-B6DF-4445-B519-F4524B8DEB9F,3
032E783C-362C-4116-BAA0-C5C62FBECE75,0
0335EF07-121B-464F-98DB-10D83AFFD40F,0
0337574B-6074-44F8-82E9-44E1BD8BF03A,0
0338DA0F-4EA1-43B2-8A31-0778F22AADB5,0
033A1FC1-CFB2-4F0C-8820-1C69D2F10BD5,0
033BADA0-AD46-439E-9D79-35F03B2C8BA3,0
033E17C5-8D16-4687-9663-2E64878D6695,0
0340C1E4-1152-44E3-8D0B-2BA427A8BFD3,0
0342EC20-9ECB-4296-8C3E-2CA54410D778,0
03456E5B-784C-4AC9-BE1D-E56B70B61938,0
0348AF2B-691A-47B1-8954-C2E835629236,0
0348BCD7-D499-4265-A34D-D499B4C88FC9,0
03498149-AC49-4F30-9C8B-67B0C63CEF68,0
034A1DD0-7FFB-4C91-84C4-5C4C83562901,0
034A639E-FFDC-4F16-A37F-D0C321199F42,0
034EE52D-7272-4489-B5BB-AA1FF7154A22,0
03540B7F-DD99-470F-8256-7D3C50F38AA1,0
0360C016-1AE8-4747-B765-01C42D3F0E00,0
0361704D-0B63-429B-9157-4BCBD0BAC469,0
03649F1E-54FC-40B1-919A-A7CD8CCE52ED,0
03678AB9-9D46-4A6F-A40B-CCBB406CAE70,0
0367F6E5-B573-4810-9765-3B56BD99D840,3
036AAF0B-C11D-4A61-BDCA-2D1B4560F45C,0
036ADBC2-A632-4563-91BB-88336B35B174,2
036AF882-2037-4529-8EC5-76BFDB202789,0
036BCCBB-426F-4A90-AA70-E1961CA29479,0
036C8608-93E6-47E7-BA1D-CCC99CC26347,3
036C8D4E-4BDC-4687-8695-804F65FB3CBD,0
036E2908-917E-4A6A-94AF-093240E1919D,0
036E6EA2-6A19-45DA-A604-F404AE0B107E,2
036E8076-DDAA-4A00-B5AA-D9A4BF7CDF23,0
037227FD-63EC-497B-A5CC-300641C3799A,0
0372B626-CF60-4077-8672-AD5E03718711,0
0374B888-8527-4361-9685-A522EA1A539E,0
0374F53E-7FFB-4C3C-A705-EB8D0C91A043,2
037609BD-C163-470C-9FF8-78733C4446BD,0
037AF061-58A0-46C7-96DC-1FCAD5C32147,0
037D1E2F-75CF-4711-AD4F-3E757C3E2F59,0
037D523A-3C1D-4190-94B7-38728FB15ED8,0
037DA0B2-7C8A-41EF-9CB0-0C35CB0317CD,0
037E53B1-E665-4DC0-A8AC-EC96637145DB,0
037EE039-5781-4F51-ACB5-93F5CFA675B3,0
03856797-B4B3-4D03-9E63-0BA2FA751A50,0
0386F58A-2BC4-4399-BCE6-F8F501944727,0
03888C37-F0A2-4142-AF02-77081B2C8FFF,0
038B1697-EC80-46B4-8A11-D5FD65552E4B,2
038B1B62-8A6B-4327-A4C5-BB269E6C3390,0
038CDC7E-30A3-42A9-A935-8F9FD6C5ED46,2
038F5C04-19DE-455F-88AC-1ADA2BFBF8B4,2
0394226B-BB01-49B9-AB1F-AEE8DDB1F1DC,0
0397DD9B-62E2-4348-B48C-507B98EEF04C,2
03987269-F52D-4318-BA35-439C2DBCE31C,2
039A2DAE-1B99-487B-B5D4-2A02183AB486,0
039ADCBA-577C-47A2-A22E-7C1C122306F4,0
03A2EC3C-ACC6-4547-8134-4753891509EF,0
03A3A9BC-F6B4-4546-8BCE-F2AE2EB26416,0
03A428FC-EEC5-47C4-9A50-92D87207E917,0
03A5CB70-08D9-4221-B4B6-A85E42BAFAA7,2
03A7E3FF-004F-4F90-93B5-B356CC0DF01B,0
03AACC6B-B2D4-4B91-9F10-52774D822BB8,4
03AD043E-1986-40F0-8C15-2AD16A26AD02,0
03AD9F4F-9353-4AD6-9D2D-B7B4A8B60775,0
03AF15EE-121E-4868-B076-1AE762562C35,0
03AFA093-E297-4ACE-9427-F149147C69C2,2
03B0F195-2F9A-4173-8339-88E66462111E,0
03B12C4A-7AD5-40A4-87F6-0FC6C0C70295,0
